,Image_Name,Image_label,Image_Type
822,2767,5,Street
823,2771,1,Forest
824,2778,4,Sea
825,2779,1,Forest
826,2780,3,Mountain
827,2781,3,Mountain
828,2783,1,Forest
829,2784,1,Forest
830,2789,3,Mountain
831,2791,2,Glacier
832,2794,5,Street
833,2795,2,Glacier
834,2798,4,Sea
835,2801,2,Glacier
836,2812,4,Sea
837,2813,4,Sea
838,2814,2,Glacier
839,2816,2,Glacier
840,2819,4,Sea
841,2820,2,Glacier
842,2824,4,Sea
843,2825,2,Glacier
844,2828,4,Sea
845,2829,1,Forest
846,2832,3,Mountain
847,2833,1,Forest
848,2834,0,Buildings
849,2841,0,Buildings
850,2843,0,Buildings
851,2844,1,Forest
852,2845,0,Buildings
853,2846,4,Sea
854,2851,2,Glacier
855,2852,0,Buildings
856,2854,0,Buildings
857,2860,2,Glacier
858,2861,4,Sea
859,2865,4,Sea
860,2866,2,Glacier
861,2867,2,Glacier
862,2872,1,Forest
863,2883,1,Forest
864,2895,4,Sea
865,2898,3,Mountain
866,2899,4,Sea
867,2901,3,Mountain
868,2904,3,Mountain
869,2906,0,Buildings
870,2910,3,Mountain
871,2911,0,Buildings
872,2918,3,Mountain
873,2920,2,Glacier
874,2931,4,Sea
875,2933,4,Sea
876,2938,2,Glacier
877,2941,4,Sea
878,2945,1,Forest
879,2952,0,Buildings
880,2955,0,Buildings
881,2956,2,Glacier
882,2966,0,Buildings
883,2969,4,Sea
884,2970,2,Glacier
885,2972,4,Sea
886,2974,0,Buildings
887,2977,1,Forest
888,2980,2,Glacier
889,2982,0,Buildings
890,2986,2,Glacier
891,2992,2,Glacier
892,3002,4,Sea
893,3006,0,Buildings
894,3011,1,Forest
895,3012,2,Glacier
896,3013,2,Glacier
897,3022,4,Sea
898,3026,0,Buildings
899,3027,0,Buildings
900,3034,2,Glacier
901,3037,3,Mountain
902,3042,1,Forest
903,3043,4,Sea
904,3048,0,Buildings
905,3049,0,Buildings
906,3052,2,Glacier
907,3059,5,Street
908,3062,5,Street
909,3065,5,Street
910,3068,3,Mountain
911,3080,5,Street
912,3084,3,Mountain
913,3085,2,Glacier
914,3093,2,Glacier
915,3096,0,Buildings
916,3097,2,Glacier
917,3101,1,Forest
918,3112,4,Sea
919,3120,4,Sea
920,3127,3,Mountain
921,3128,0,Buildings
922,3129,5,Street
923,3133,5,Street
924,3135,3,Mountain
925,3140,3,Mountain
926,3144,2,Glacier
927,3146,1,Forest
928,3156,2,Glacier
929,3159,1,Forest
930,3160,0,Buildings
931,3161,0,Buildings
932,3164,1,Forest
933,3166,5,Street
934,3167,4,Sea
935,3168,4,Sea
936,3169,3,Mountain
937,3171,5,Street
938,3174,1,Forest
939,3176,5,Street
940,3177,0,Buildings
941,3179,3,Mountain
942,3186,3,Mountain
943,3187,0,Buildings
944,3189,0,Buildings
945,3198,4,Sea
946,3201,2,Glacier
947,3206,0,Buildings
948,3208,4,Sea
949,3212,5,Street
950,3214,0,Buildings
951,3223,0,Buildings
952,3228,0,Buildings
953,3231,3,Mountain
954,3233,2,Glacier
955,3240,3,Mountain
956,3242,5,Street
957,3246,2,Glacier
958,3248,4,Sea
959,3250,2,Glacier
960,3252,3,Mountain
961,3254,3,Mountain
962,3258,4,Sea
963,3271,5,Street
964,3276,1,Forest
965,3277,5,Street
966,3283,3,Mountain
967,3285,2,Glacier
968,3286,3,Mountain
969,3289,3,Mountain
970,3292,2,Glacier
971,3294,1,Forest
972,3301,5,Street
973,3312,1,Forest
974,3317,3,Mountain
975,3321,3,Mountain
976,3322,2,Glacier
977,3324,3,Mountain
978,3326,2,Glacier
979,3335,3,Mountain
980,3338,4,Sea
981,3345,1,Forest
982,3349,0,Buildings
983,3350,3,Mountain
984,3351,3,Mountain
985,3362,3,Mountain
986,3363,2,Glacier
987,3371,1,Forest
988,3372,3,Mountain
989,3374,1,Forest
990,3379,5,Street
991,3380,3,Mountain
992,3390,4,Sea
993,3393,0,Buildings
994,3398,3,Mountain
995,3402,3,Mountain
996,3404,2,Glacier
997,3407,0,Buildings
998,3408,2,Glacier
999,3409,4,Sea
1000,3413,0,Buildings
1001,3414,0,Buildings
1002,3415,1,Forest
1003,3417,5,Street
1004,3418,2,Glacier
1005,3419,2,Glacier
1006,3421,4,Sea
1007,3431,3,Mountain
1008,3432,3,Mountain
1009,3433,0,Buildings
1010,3436,2,Glacier
1011,3441,3,Mountain
1012,3445,3,Mountain
1013,3451,5,Street
1014,3452,1,Forest
1015,3455,1,Forest
1016,3459,3,Mountain
1017,3463,0,Buildings
1018,3464,2,Glacier
1019,3466,5,Street
1020,3471,2,Glacier
1021,3472,3,Mountain
1022,3474,0,Buildings
1023,3478,3,Mountain
1024,3483,3,Mountain
1025,3486,0,Buildings
1026,3495,2,Glacier
1027,3502,3,Mountain
1028,3508,2,Glacier
1029,3515,3,Mountain
1030,3517,3,Mountain
1031,3520,0,Buildings
1032,3522,2,Glacier
1033,3525,4,Sea
1034,3531,1,Forest
1035,3536,4,Sea
1036,3537,3,Mountain
1037,3541,3,Mountain
1038,3544,4,Sea
1039,3550,4,Sea
1040,3552,0,Buildings
1041,3555,3,Mountain
1042,3564,1,Forest
1043,3565,5,Street
1044,3570,0,Buildings
1045,3576,4,Sea
1046,3577,4,Sea
1047,3578,1,Forest
1048,3580,3,Mountain
1049,3581,2,Glacier
1050,3584,4,Sea
1051,3589,1,Forest
1052,3590,0,Buildings
1053,3594,4,Sea
1054,3595,3,Mountain
1055,3597,5,Street
1056,3600,1,Forest
1057,3605,1,Forest
1058,3609,0,Buildings
1059,3612,0,Buildings
1060,3622,2,Glacier
1061,3625,3,Mountain
1062,3627,4,Sea
1063,3632,2,Glacier
1064,3633,3,Mountain
1065,3639,5,Street
1066,3640,0,Buildings
1067,3642,1,Forest
1068,3644,2,Glacier
1069,3646,0,Buildings
1070,3648,2,Glacier
1071,3652,3,Mountain
1072,3655,1,Forest
1073,3656,1,Forest
1074,3668,4,Sea
1075,3672,2,Glacier
1076,3673,0,Buildings
1077,3677,4,Sea
1078,3681,4,Sea
1079,3688,3,Mountain
1080,3690,3,Mountain
1081,3696,2,Glacier
1082,3698,1,Forest
1083,3700,4,Sea
1084,3703,0,Buildings
1085,3705,3,Mountain
1086,3707,3,Mountain
1087,3709,0,Buildings
1088,3710,0,Buildings
1089,3714,2,Glacier
1090,3715,2,Glacier
1091,3716,0,Buildings
1092,3720,4,Sea
1093,3721,3,Mountain
1094,3725,3,Mountain
1095,3728,1,Forest
1096,3729,0,Buildings
1097,3730,4,Sea
1098,3735,3,Mountain
1099,3738,5,Street
1100,3739,5,Street
1101,3753,4,Sea
1102,3754,5,Street
1103,3755,2,Glacier
1104,3757,0,Buildings
1105,3770,4,Sea
1106,3772,3,Mountain
1107,3776,4,Sea
1108,3778,0,Buildings
1109,3782,0,Buildings
1110,3789,4,Sea
1111,3790,3,Mountain
1112,3799,1,Forest
1113,3805,2,Glacier
1114,3814,4,Sea
1115,3817,2,Glacier
1116,3819,1,Forest
1117,3821,0,Buildings
1118,3823,3,Mountain
1119,3830,5,Street
1120,3832,4,Sea
1121,3833,4,Sea
1122,3835,0,Buildings
1123,3838,2,Glacier
1124,3846,1,Forest
1125,3851,0,Buildings
1126,3853,3,Mountain
1127,3854,4,Sea
1128,3855,3,Mountain
1129,3859,0,Buildings
1130,3865,3,Mountain
1131,3867,5,Street
1132,3883,3,Mountain
1133,3886,2,Glacier
1134,3887,3,Mountain
1135,3892,1,Forest
1136,3897,5,Street
1137,3906,3,Mountain
1138,3907,4,Sea
1139,3910,2,Glacier
1140,3916,3,Mountain
1141,3917,0,Buildings
1142,3918,2,Glacier
1143,3919,4,Sea
1144,3923,2,Glacier
1145,3925,3,Mountain
1146,3926,1,Forest
1147,3930,1,Forest
1148,3932,0,Buildings
1149,3942,1,Forest
1150,3946,5,Street
1151,3947,2,Glacier
1152,3953,1,Forest
1153,3962,4,Sea
1154,3966,3,Mountain
1155,3970,3,Mountain
1156,3975,3,Mountain
1157,3976,4,Sea
1158,3979,3,Mountain
1159,3981,2,Glacier
1160,3982,2,Glacier
1161,3983,0,Buildings
1162,3986,0,Buildings
1163,3987,4,Sea
1164,3995,4,Sea
1165,3996,3,Mountain
1166,4011,2,Glacier
1167,4013,0,Buildings
1168,4014,0,Buildings
1169,4019,1,Forest
1170,4021,5,Street
1171,4022,3,Mountain
1172,4023,4,Sea
1173,4030,5,Street
1174,4032,4,Sea
1175,4035,3,Mountain
1176,4036,2,Glacier
1177,4037,1,Forest
1178,4040,0,Buildings
1179,4043,3,Mountain
1180,4045,1,Forest
1181,4050,2,Glacier
1182,4058,3,Mountain
1183,4061,2,Glacier
1184,4063,5,Street
1185,4066,3,Mountain
1186,4069,3,Mountain
1187,4071,0,Buildings
1188,4072,0,Buildings
1189,4073,4,Sea
1190,4074,5,Street
1191,4078,5,Street
1192,4080,1,Forest
1193,4083,5,Street
1194,4085,4,Sea
1195,4089,5,Street
1196,4091,2,Glacier
1197,4094,5,Street
1198,4101,3,Mountain
1199,4104,2,Glacier
1200,4105,2,Glacier
1201,4107,5,Street
1202,4108,0,Buildings
1203,4111,1,Forest
1204,4113,3,Mountain
1205,4118,5,Street
1206,4121,0,Buildings
1207,4122,5,Street
1208,4123,0,Buildings
1209,4124,4,Sea
1210,4126,5,Street
1211,4127,4,Sea
1212,4133,5,Street
1213,4135,5,Street
1214,4136,3,Mountain
1215,4138,1,Forest
1216,4140,3,Mountain
1217,4149,4,Sea
1218,4150,0,Buildings
1219,4153,5,Street
1220,4157,4,Sea
1221,4164,4,Sea
1222,4166,2,Glacier
1223,4167,0,Buildings
1224,4168,5,Street
1225,4169,3,Mountain
1226,4170,3,Mountain
1227,4176,5,Street
1228,4179,2,Glacier
1229,4180,5,Street
